"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-16",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-17",,,"57",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-18",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-19",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-20",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-21",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-22",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-23",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-24",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-25",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-26",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-27",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-28",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-29",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-30",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-01",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-02",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-03",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-04",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-05",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-06",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-07",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-08",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-09",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-10",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-11",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-12",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-13",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-14",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-15",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-17",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-19",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-20",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-21",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-22",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-23",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-24",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-25",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-26",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-27",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-12-28",,,"63",,
